country,country_code,year_week,number_detections_variant
France,FR,2020-01,1
France,FR,2020-02,14
France,FR,2020-03,48
France,FR,2020-04,82
France,FR,2020-05,14
France,FR,2020-06,49
France,FR,2020-07,30
France,FR,2020-08,155
France,FR,2020-09,70
France,FR,2020-10,108
France,FR,2020-11,174
France,FR,2020-12,253
France,FR,2020-13,203
France,FR,2020-14,167
France,FR,2020-15,86
France,FR,2020-16,167
France,FR,2020-17,125
France,FR,2020-18,146
France,FR,2020-19,135
France,FR,2020-20,156
France,FR,2020-21,359
France,FR,2020-22,183
France,FR,2020-23,119
France,FR,2020-24,49
France,FR,2020-25,128
France,FR,2020-26,232
France,FR,2020-27,46
France,FR,2020-28,40
France,FR,2020-29,12
France,FR,2020-30,5
France,FR,2020-31,159
France,FR,2020-32,30
France,FR,2020-33,52
France,FR,2020-34,56
France,FR,2020-35,295
France,FR,2020-36,344
France,FR,2020-37,223
France,FR,2020-38,250
France,FR,2020-39,210
France,FR,2020-40,257
France,FR,2020-41,258
France,FR,2020-42,161
France,FR,2020-43,202
France,FR,2020-44,272
France,FR,2020-45,243
France,FR,2020-46,296
France,FR,2020-47,348
France,FR,2020-48,219
France,FR,2020-49,278
France,FR,2020-50,129
France,FR,2020-51,93
France,FR,2020-52,143
France,FR,2020-53,172
France,FR,2020-54,71
France,FR,2020-55,47
France,FR,2020-56,47
France,FR,2020-57,7
France,FR,2020-58,4
France,FR,2020-59,3
France,FR,2020-60,1
